D,G
-0.0002828604483511299,-0.0002828604483511299
-0.00023619788407813758,-0.00023619788407813758
-0.00010659779945854098,-0.00010659779945854098
-0.00017401916556991637,-0.00017401916556991637
-6.816216773586348e-05,-6.816216773586348e-05
-0.00018955384439323097,-0.00018955384439323097
-8.42647859826684e-05,-8.42647859826684e-05
-0.00019660677935462445,-0.00019660677935462445
-7.572174217784777e-05,-7.572174217784777e-05
-0.0001561224489705637,-0.0001561224489705637
-0.00015908053319435567,-0.00015908053319435567
-0.0005243871710263193,-0.0005243871710263193
-3.0007533496245742e-05,-3.0007533496245742e-05
-0.00017982210556510836,-0.00017982210556510836
-0.0001964168914128095,-0.0001964168914128095
-0.00028313740040175617,-0.00028313740040175617
-9.4991919468157e-05,-9.4991919468157e-05
-0.00012044565664837137,-0.00012044565664837137
-0.0001694611128186807,-0.0001694611128186807
2.0231518647051416e-06,2.0231518647051416e-06
-0.00027564167976379395,-0.00027564167976379395
-0.00024775267229415476,-0.00024775267229415476
5.514196163858287e-05,5.514196163858287e-05
-0.0001332112733507529,-0.0001332112733507529
-0.00025570052093826234,-0.00025570052093826234
5.1781960792141035e-05,5.1781960792141035e-05
-8.89028815436177e-05,-8.89028815436177e-05
-0.00025673338677734137,-0.00025673338677734137
-0.00016627396689727902,-0.00016627396689727902
-0.00026716163847595453,-0.00026716163847595453
-0.0001554540212964639,-0.0001554540212964639
-0.0003277795622125268,-0.0003277795622125268
-0.0003471996169537306,-0.0003471996169537306
-8.644206536700949e-05,-8.644206536700949e-05
-0.0002589379146229476,-0.0002589379146229476
-0.00023150954802986234,-0.00023150954802986234
-7.38075832487084e-05,-7.38075832487084e-05
-0.0003826073370873928,-0.0003826073370873928
3.579258918762207e-05,3.579258918762207e-05
-0.00030956268892623484,-0.00030956268892623484
-0.00016258358664344996,-0.00016258358664344996
-0.000173246007761918,-0.000173246007761918
-0.00012936591519974172,-0.00012936591519974172
-0.000315638113534078,-0.000315638113534078
-0.00014682242181152105,-0.00014682242181152105
-0.00025459271273575723,-0.00025459271273575723
-0.00013024976942688227,-0.00013024976942688227
-7.430059486068785e-05,-7.430059486068785e-05
-8.813993918010965e-05,-8.813993918010965e-05
3.458857463556342e-05,3.458857463556342e-05
-5.7566590839996934e-05,-5.7566590839996934e-05
-0.00015856538084335625,-0.00015856538084335625
-0.00040387341869063675,-0.00040387341869063675
-0.00020898239745292813,-0.00020898239745292813
-0.00022070322302170098,-0.00022070322302170098
-0.0003994388098362833,-0.0003994388098362833
-4.014032310806215e-05,-4.014032310806215e-05
-0.00030476110987365246,-0.00030476110987365246
-0.000255559163633734,-0.000255559163633734
-0.00025687814923003316,-0.00025687814923003316
1.1082206583523657e-05,1.1082206583523657e-05
-0.00021710735745728016,-0.00021710735745728016
-0.00014181733422446996,-0.00014181733422446996
-0.00015869480557739735,-0.00015869480557739735
-5.221452011028305e-05,-5.221452011028305e-05
-0.00012894613610114902,-0.00012894613610114902
-0.0003144911315757781,-0.0003144911315757781
-0.0001467338588554412,-0.0001467338588554412
-0.00027833666536025703,-0.00027833666536025703
-0.00022767185873817652,-0.00022767185873817652
-0.0003922053729183972,-0.0003922053729183972
-0.00018208878464065492,-0.00018208878464065492
-8.461645484203473e-05,-8.461645484203473e-05
-0.000308023183606565,-0.000308023183606565
-2.5222130716429092e-05,-2.5222130716429092e-05
-1.1651856766548008e-05,-1.1651856766548008e-05
-0.000223147013457492,-0.000223147013457492
-0.0003074714040849358,-0.0003074714040849358
-0.00025121058570221066,-0.00025121058570221066
-0.0001624388387426734,-0.0001624388387426734
-7.942659431137145e-05,-7.942659431137145e-05
-9.33306582737714e-05,-9.33306582737714e-05
-8.176905794243794e-06,-8.176905794243794e-06
-0.00032235129037871957,-0.00032235129037871957
-0.00021219423797447234,-0.00021219423797447234
-0.00016487922403030097,-0.00016487922403030097
-0.00013243895955383778,-0.00013243895955383778
