date,open,high,low,close
2014-02-24,1029.266,1035.629,1015.528,1035.629
2014-02-25,1037.538,1043.049,984.559,991.042
2014-02-26,984.409,994.378,970.541,994.378
2014-02-27,997.773,1010.734,975.177,975.831
2014-02-28,974.831,989.658,965.234,989.658
2014-03-03,991.251,1006.623,989.492,1006.622
2014-03-04,1002.279,1003.374,990.363,1000.437
2014-03-05,1003.008,1007.734,998.292,999.419
2014-03-06,997.184,999.091,983.12,996.186
2014-03-07,995.64,1001.249,987.318,991.516
2014-03-10,983.171,983.171,952.731,953.42
2014-03-11,949.513,960.364,942.223,950.634
2014-03-12,948.764,957.615,933.737,947.587
2014-03-13,948.004,961.3,948.004,961.238
2014-03-14,956.976,963.119,951.137,957.52
2014-03-17,960.358,977.661,958.618,977.566
2014-03-18,978.71,987.943,978.63,981.458
2014-03-19,979.513,979.513,965.214,972.757
2014-03-20,970.285,976.653,943.043,943.043
2014-03-21,937.514,962.125,927.822,961.164
2014-03-24,961.473,964.375,955.195,960.858
2014-03-25,957.575,964.033,954.072,959.648
2014-03-26,961.285,966.828,961.011,965.099
2014-03-27,964.053,964.053,944.027,944.027
2014-03-28,941.681,944.437,916.527,918.97
2014-03-31,917.924,922.87,909.32,914.519
2014-04-01,913.565,930.983,913.26,930.913
2014-04-02,931.292,934.532,927.392,929.784
2014-04-03,930.584,940.097,929.097,933.333
2014-04-04,931.838,944.862,929.453,944.862
2014-04-08,940.878,953.278,938.851,953.141
2014-04-09,954.201,963.564,954.193,962.322
2014-04-10,963.571,969.184,962.225,965.01
2014-04-11,961.294,961.664,953.988,959.514
2014-04-14,958.716,964.927,958.429,964.927
2014-04-15,963.727,964.506,956.25,957.868
2014-04-16,955.808,959.931,952.55,957.533
2014-04-17,959.457,963.411,958.966,960.186
2014-04-18,957.425,962.053,954.557,961.231
2014-04-21,955.954,965.979,947.499,948.234
2014-04-22,947.305,952.043,927.275,941.012
2014-04-23,940.635,946.314,936.003,939.84
2014-04-24,938.498,939.874,929.012,930.27
2014-04-25,929.564,931.043,911.876,912.011
2014-04-28,908.93,908.93,885.382,886.43
2014-04-29,882.807,896.275,882.807,896.275
2014-04-30,894.268,902.805,893.549,901.76
2014-05-05,900.421,911.843,896.205,911.595
2014-05-06,911.869,926.478,910.901,921.31
2014-05-07,918.818,918.818,903.749,904.307
2014-05-08,901.553,914.962,900.255,901.887
2014-05-09,901.264,901.888,884.536,892.933
2014-05-12,898.092,914.324,894.778,914.324
2014-05-13,913.727,917.339,908.767,911.735
2014-05-14,911.094,915.104,908.879,912.624
2014-05-15,911.534,912.136,892.821,894.0
2014-05-16,891.668,894.548,882.496,892.468
2014-05-19,891.062,891.062,881.131,887.711
2014-05-20,891.687,899.568,888.64,890.962
2014-05-21,889.002,899.93,882.421,899.93
2014-05-22,900.851,911.597,900.014,900.463
2014-05-23,900.882,910.585,898.975,910.585
2014-05-26,914.914,920.628,914.54,920.628
2014-05-27,919.331,922.282,916.011,917.519
2014-05-28,917.869,932.117,916.148,931.917
2014-05-29,932.816,934.53,920.413,921.038
2014-05-30,919.871,927.626,914.695,924.614
2014-06-03,925.258,929.781,923.947,924.298
2014-06-04,922.828,922.828,906.292,914.192
2014-06-05,913.0,925.07,911.285,925.07
2014-06-06,925.35,929.787,920.083,924.748
2014-06-09,922.29,926.356,917.739,918.224
2014-06-10,918.653,931.467,914.312,931.467
2014-06-11,930.263,936.67,929.008,935.662
2014-06-12,933.808,936.0,929.157,932.259
2014-06-13,931.217,944.817,930.43,943.81
2014-06-16,944.441,951.103,943.843,950.244
2014-06-17,949.047,949.047,939.931,940.319
2014-06-18,940.223,941.853,934.715,935.297
2014-06-19,934.92,937.066,904.541,909.954
2014-06-20,909.461,919.19,908.6,919.19
2014-06-23,920.479,930.927,920.479,927.743
2014-06-24,928.013,932.987,926.639,932.987
2014-06-25,932.735,932.735,924.562,927.845
2014-06-26,927.887,941.57,927.887,940.735
2014-06-27,941.264,950.166,938.974,945.478
2014-06-30,946.45,955.625,944.223,955.625
2014-07-01,956.314,962.346,953.127,962.288
