prediction,real
2727.963485695769,2747.2285
2751.338488118587,2815.1095
2837.7764047564206,2827.6252
2838.724033938821,2777.7711
2762.887566096331,2837.6586
2856.110619756785,2831.1837
2838.0278244317637,2814.0418
2813.5352425712017,2798.1259
2791.947366239005,2787.257
2780.7655866564196,2772.5454
2766.7434500057943,2829.2712
2850.8121637724253,2859.5424
2877.732720977934,2905.5618
2929.7771752386934,2903.6467
2909.0719491575164,2882.2254
2885.93635721583,2873.5938
2870.117546635403,2869.0495
2868.85363430221,2876.4009
2879.781003401204,2824.5337
