real,prediction
2786.8876953125,2770.616943359375
2759.1259765625,2781.196533203125
2733.8818359375,2752.678466796875
2747.228515625,2726.31494140625
2815.109619140625,2741.608642578125
2827.625244140625,2799.59814453125
2777.77099609375,2822.253662109375
2837.65869140625,2775.33154296875
2831.18359375,2833.30517578125
2814.041748046875,2828.203369140625
2798.1259765625,2805.4384765625
2787.257080078125,2802.018798828125
2772.54541015625,2783.11572265625
2829.271240234375,2770.850341796875
2859.54248046875,2822.601806640625
2905.561767578125,2857.795166015625
2903.646728515625,2907.643310546875
2882.225341796875,2906.836181640625
2873.59375,2891.579833984375
2869.049560546875,2875.552978515625
2876.40087890625,2872.8642578125
2824.53369140625,2873.8505859375
